--------------------------------------------------------------------------------
		Marvellous Infosystems Process Log

		Log file is created at : Sun Jun 15 20:19:44 2025
--------------------------------------------------------------------------------
 {'name': 'loginwindow', 'pid': 377, 'username': 'root', 'vms': 402488.140625} 


 {'name': 'distnoted', 'pid': 539, 'username': 'devashish', 'vms': 416910.78125} 


 {'name': 'cfprefsd', 'pid': 541, 'username': 'devashish', 'vms': 416912.828125} 


 {'name': 'UserEventAgent', 'pid': 550, 'username': 'devashish', 'vms': 416946.140625} 


 {'name': 'universalaccessd', 'pid': 557, 'username': 'devashish', 'vms': 401616.546875} 


 {'name': 'pboard', 'pid': 559, 'username': 'devashish', 'vms': 416921.578125} 


 {'name': 'talagentd', 'pid': 560, 'username': 'devashish', 'vms': 416977.09375} 


 {'name': 'WindowManager', 'pid': 561, 'username': 'devashish', 'vms': 402151.0} 


 {'name': 'Dock', 'pid': 563, 'username': 'devashish', 'vms': 402480.421875} 


 {'name': 'ControlCenter', 'pid': 564, 'username': 'devashish', 'vms': 402514.1875} 


 {'name': 'lsd', 'pid': 565, 'username': 'devashish', 'vms': 416961.953125} 


 {'name': 'SystemUIServer', 'pid': 566, 'username': 'devashish', 'vms': 401759.15625} 


 {'name': 'Finder', 'pid': 567, 'username': 'devashish', 'vms': 411328.34375} 


 {'name': 'secd', 'pid': 571, 'username': 'devashish', 'vms': 416988.921875} 


 {'name': 'containermanagerd', 'pid': 573, 'username': 'devashish', 'vms': 416942.6875} 


 {'name': 'trustd', 'pid': 580, 'username': 'devashish', 'vms': 416949.9375} 


 {'name': 'WallpaperAgent', 'pid': 581, 'username': 'devashish', 'vms': 402033.609375} 


 {'name': 'ContinuityCaptureAgent', 'pid': 586, 'username': 'devashish', 'vms': 416945.171875} 


 {'name': 'sharedfilelistd', 'pid': 588, 'username': 'devashish', 'vms': 416946.1875} 


 {'name': 'usernotificationsd', 'pid': 589, 'username': 'devashish', 'vms': 416943.859375} 


 {'name': 'fileproviderd', 'pid': 591, 'username': 'devashish', 'vms': 416967.546875} 


 {'name': 'AMPDeviceDiscoveryAgent', 'pid': 593, 'username': 'devashish', 'vms': 416955.96875} 


 {'name': 'accountsd', 'pid': 602, 'username': 'devashish', 'vms': 416987.53125} 


 {'name': 'identityservicesd', 'pid': 603, 'username': 'devashish', 'vms': 416977.90625} 


 {'name': 'ViewBridgeAuxiliary', 'pid': 605, 'username': 'devashish', 'vms': 401645.984375} 


 {'name': 'fontd', 'pid': 612, 'username': 'devashish', 'vms': 416944.90625} 


 {'name': 'rapportd', 'pid': 613, 'username': 'devashish', 'vms': 416954.5} 


 {'name': 'routined', 'pid': 617, 'username': 'devashish', 'vms': 416978.65625} 


 {'name': 'fontworker', 'pid': 625, 'username': 'devashish', 'vms': 416966.40625} 


 {'name': 'WallpaperDynamicExtension', 'pid': 626, 'username': 'devashish', 'vms': 401552.109375} 


 {'name': 'usernoted', 'pid': 627, 'username': 'devashish', 'vms': 416956.375} 


 {'name': 'nsurlsessiond', 'pid': 628, 'username': 'devashish', 'vms': 416968.75} 


