--------------------------------------------------------------------------------
		Marvellous Infosystems Process Log

		Log file is created at : Sun Jun 15 20:58:58 2025
--------------------------------------------------------------------------------
 {'pid': 377, 'name': 'loginwindow', 'username': 'root', 'vms': 402489.78125} 


 {'pid': 539, 'name': 'distnoted', 'username': 'devashish', 'vms': 416910.78125} 


 {'pid': 541, 'name': 'cfprefsd', 'username': 'devashish', 'vms': 416912.28125} 


 {'pid': 550, 'name': 'UserEventAgent', 'username': 'devashish', 'vms': 416946.140625} 


 {'pid': 557, 'name': 'universalaccessd', 'username': 'devashish', 'vms': 401616.0} 


 {'pid': 559, 'name': 'pboard', 'username': 'devashish', 'vms': 416921.03125} 


 {'pid': 560, 'name': 'talagentd', 'username': 'devashish', 'vms': 416977.09375} 


 {'pid': 561, 'name': 'WindowManager', 'username': 'devashish', 'vms': 402150.421875} 


 {'pid': 563, 'name': 'Dock', 'username': 'devashish', 'vms': 402481.734375} 


 {'pid': 564, 'name': 'ControlCenter', 'username': 'devashish', 'vms': 402512.546875} 


 {'pid': 565, 'name': 'lsd', 'username': 'devashish', 'vms': 416960.3125} 


 {'pid': 566, 'name': 'SystemUIServer', 'username': 'devashish', 'vms': 401759.15625} 


 {'pid': 567, 'name': 'Finder', 'username': 'devashish', 'vms': 411327.796875} 


 {'pid': 571, 'name': 'secd', 'username': 'devashish', 'vms': 416988.921875} 


 {'pid': 573, 'name': 'containermanagerd', 'username': 'devashish', 'vms': 416942.6875} 


 {'pid': 580, 'name': 'trustd', 'username': 'devashish', 'vms': 416949.9375} 


 {'pid': 581, 'name': 'WallpaperAgent', 'username': 'devashish', 'vms': 402033.609375} 


 {'pid': 586, 'name': 'ContinuityCaptureAgent', 'username': 'devashish', 'vms': 416945.171875} 


 {'pid': 588, 'name': 'sharedfilelistd', 'username': 'devashish', 'vms': 416945.640625} 


 {'pid': 589, 'name': 'usernotificationsd', 'username': 'devashish', 'vms': 416943.859375} 


 {'pid': 591, 'name': 'fileproviderd', 'username': 'devashish', 'vms': 416967.546875} 


 {'pid': 593, 'name': 'AMPDeviceDiscoveryAgent', 'username': 'devashish', 'vms': 416955.421875} 


 {'pid': 602, 'name': 'accountsd', 'username': 'devashish', 'vms': 416987.53125} 


 {'pid': 603, 'name': 'identityservicesd', 'username': 'devashish', 'vms': 416977.90625} 


 {'pid': 605, 'name': 'ViewBridgeAuxiliary', 'username': 'devashish', 'vms': 401644.890625} 


 {'pid': 612, 'name': 'fontd', 'username': 'devashish', 'vms': 416944.90625} 


 {'pid': 613, 'name': 'rapportd', 'username': 'devashish', 'vms': 416955.046875} 


 {'pid': 617, 'name': 'routined', 'username': 'devashish', 'vms': 416978.65625} 


 {'pid': 625, 'name': 'fontworker', 'username': 'devashish', 'vms': 416966.40625} 


 {'pid': 626, 'name': 'WallpaperDynamicExtension', 'username': 'devashish', 'vms': 401552.109375} 


 {'pid': 627, 'name': 'usernoted', 'username': 'devashish', 'vms': 416956.375} 


 {'pid': 628, 'name': 'nsurlsessiond', 'username': 'devashish', 'vms': 416968.203125} 


