USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
_windowserver      375   4.1  0.9 412495408  77312   ??  Ss    4Jun25 359:05.25 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
devashish          567   2.5  1.2 421199200 103648   ??  S     4Jun25  14:11.93 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
root                 1   2.2  0.2 426852592  15712   ??  Ss    4Jun25  16:49.18 /sbin/launchd
devashish         1213   1.1  4.1 1873788336 345760   ??  S     7:57PM  11:05.11 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper (Renderer).app/Contents/MacOS/Code Helper (Renderer) --type=renderer --user-data-dir=/Users/devashish/Library/Application Support/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --app-path=/Applications/Visual Studio Code.app/Contents/Resources/app --enable-sandbox --enable-blink-features=HighlightAPI --disable-blink-features=FontMatchingCTMigration,StandardizedBrowserZoom, --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=29 --time-ticks-at-unix-epoch=-1749628882821899 --launch-time-ticks=141833062260 --shared-files --field-trial-handle=1718379636,r,3016138179641733878,14005991439531518787,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,MacWebContentsOcclusion,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts --variations-seed-version --vscode-window-config=vscode:c68494d3-0fcd-4a2d-b5ab-548d70416dab --seatbelt-client=54
devashish        76698   1.0  1.8 1867717456 153984   ??  S    Thu11PM   9:01.72 /Applications/Visual Studio Code.app/Contents/MacOS/Electron
root               344   1.0  0.1 426955664   9152   ??  Ss    4Jun25   7:34.91 /usr/libexec/opendirectoryd
root               333   0.7  0.2 427024528  20560   ??  Ss    4Jun25  56:12.60 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
devashish        76703   0.3  0.8 444430816  66208   ??  S    Thu11PM   6:19.84 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper (GPU).app/Contents/MacOS/Code Helper (GPU) --type=gpu-process --user-data-dir=/Users/devashish/Library/Application Support/Code --gpu-preferences=UAAAAAAAAAAgAAAEAAAAAAAAAAAAAAAAAABgAAMAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAAAAAAAAAAAAAAAABAAAAAAAAAAEAAAAAAAAAAIAAAAAAAAAAgAAAAAAAAA --shared-files --field-trial-handle=1718379636,r,3016138179641733878,14005991439531518787,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,MacWebContentsOcclusion,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts --variations-seed-version --seatbelt-client=36
devashish        76780   0.3  0.7 1866840832  56784   ??  S    Thu11PM   1:48.74 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-GB --service-sandbox-type=none --user-data-dir=/Users/devashish/Library/Application Support/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,3016138179641733878,14005991439531518787,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,MacWebContentsOcclusion,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts --variations-seed-version
root               540   0.2  0.7 446984416  59840   ??  Ss    4Jun25  33:11.72 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
root               305   0.2  0.2 427035328  19168   ??  Ss    4Jun25   7:05.07 /usr/libexec/logd
root               347   0.1  0.1 426955808   9200   ??  Ss    4Jun25   2:19.42 /System/Library/CoreServices/launchservicesd
devashish        93898   0.1  0.2 411250240  14768   ??  S    Fri09PM   0:13.89 /System/Library/CoreServices/Siri.app/Contents/MacOS/Siri launchd
root               370   0.1  0.1 426952912   7232   ??  Ss    4Jun25   5:25.86 /usr/libexec/corebrightnessd --launchd
devashish        98315   0.1  0.2 426956240  16048   ??  S    Sat10AM   0:01.59 /System/Library/PrivateFrameworks/StatusKit.framework/StatusKitAgent
_mysql             536   0.1  0.0 411654464   3520   ??  Ss    4Jun25   7:16.30 /usr/local/mysql/bin/mysqld --user=_mysql --basedir=/usr/local/mysql --datadir=/usr/local/mysql/data --plugin-dir=/usr/local/mysql/lib/plugin --log-error=/usr/local/mysql/data/mysqld.local.err --pid-file=/usr/local/mysql/data/mysqld.local.pid
root               479   0.1  0.0 410791648   3168   ??  Ss    4Jun25   3:35.72 /usr/libexec/audioclocksyncd
devashish        10654   0.0  4.5 1871995344 376912   ??  S     5:33PM   0:37.95 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper (Plugin).app/Contents/MacOS/Code Helper (Plugin) /Users/devashish/.vscode/extensions/ms-python.vscode-pylance-2025.6.1/dist/server.bundle.js --cancellationReceive=file:e306e7a5fdb8be73836b069b7a947a13211477b53b --node-ipc --clientProcessId=10518
devashish        10558   0.0  0.0 410229952    832 s043  Ss+   5:33PM   0:00.02 /bin/zsh -i
devashish        10552   0.0  0.0 410399456   3680   ??  S     5:33PM   0:00.15 /Users/devashish/.vscode/extensions/ms-python.python-2025.6.1-darwin-arm64/python-env-tools/bin/pet server
devashish        10549   0.0  0.3 411158624  21536   ??  S     5:33PM   0:00.16 /System/Library/CoreServices/OSDUIHelper.app/Contents/MacOS/OSDUIHelper
root             10547   0.0  0.0 410304720   2448   ??  Ss    5:33PM   0:00.07 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
root             10546   0.0  0.0 426916736   3328   ??  Ss    5:33PM   0:00.07 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar -daemon
root             10545   0.0  0.1 426964016   9280   ??  Ss    5:33PM   0:00.12 /usr/sbin/systemsoundserverd
devashish        10542   0.0  0.3 426983808  28416   ??  Ss    5:32PM   0:00.38 /System/Library/ExtensionKit/Extensions/TextThumbnailExtension.appex/Contents/MacOS/TextThumbnailExtension
root             10524   0.0  0.1 426950704   6528   ??  Ss    5:32PM   0:00.05 /usr/libexec/amfid
