***********************************
Information of currently runnning processes
***********************************
{'pid': 377, 'username': 'root', 'name': 'loginwindow', 'vms': 402468.34375}
{'pid': 539, 'username': 'devashish', 'name': 'distnoted', 'vms': 416910.78125}
{'pid': 541, 'username': 'devashish', 'name': 'cfprefsd', 'vms': 416912.28125}
{'pid': 550, 'username': 'devashish', 'name': 'UserEventAgent', 'vms': 416946.140625}
{'pid': 557, 'username': 'devashish', 'name': 'universalaccessd', 'vms': 401616.0}
{'pid': 559, 'username': 'devashish', 'name': 'pboard', 'vms': 416921.03125}
{'pid': 560, 'username': 'devashish', 'name': 'talagentd', 'vms': 416977.09375}
{'pid': 561, 'username': 'devashish', 'name': 'WindowManager', 'vms': 402151.0}
{'pid': 563, 'username': 'devashish', 'name': 'Dock', 'vms': 402479.125}
{'pid': 564, 'username': 'devashish', 'name': 'ControlCenter', 'vms': 402505.09375}
{'pid': 565, 'username': 'devashish', 'name': 'lsd', 'vms': 416960.3125}
{'pid': 566, 'username': 'devashish', 'name': 'SystemUIServer', 'vms': 401759.15625}
{'pid': 567, 'username': 'devashish', 'name': 'Finder', 'vms': 411326.796875}
{'pid': 571, 'username': 'devashish', 'name': 'secd', 'vms': 416988.921875}
{'pid': 573, 'username': 'devashish', 'name': 'containermanagerd', 'vms': 416942.6875}
{'pid': 580, 'username': 'devashish', 'name': 'trustd', 'vms': 416949.9375}
{'pid': 581, 'username': 'devashish', 'name': 'WallpaperAgent', 'vms': 401905.609375}
{'pid': 586, 'username': 'devashish', 'name': 'ContinuityCaptureAgent', 'vms': 416945.171875}
{'pid': 588, 'username': 'devashish', 'name': 'sharedfilelistd', 'vms': 416945.640625}
{'pid': 589, 'username': 'devashish', 'name': 'usernotificationsd', 'vms': 416943.859375}
{'pid': 591, 'username': 'devashish', 'name': 'fileproviderd', 'vms': 416967.546875}
{'pid': 593, 'username': 'devashish', 'name': 'AMPDeviceDiscoveryAgent', 'vms': 416955.421875}
{'pid': 602, 'username': 'devashish', 'name': 'accountsd', 'vms': 416987.53125}
{'pid': 603, 'username': 'devashish', 'name': 'identityservicesd', 'vms': 416978.453125}
{'pid': 605, 'username': 'devashish', 'name': 'ViewBridgeAuxiliary', 'vms': 401644.890625}
{'pid': 612, 'username': 'devashish', 'name': 'fontd', 'vms': 416944.90625}
{'pid': 613, 'username': 'devashish', 'name': 'rapportd', 'vms': 416954.5}
{'pid': 617, 'username': 'devashish', 'name': 'routined', 'vms': 416978.65625}
{'pid': 625, 'username': 'devashish', 'name': 'fontworker', 'vms': 416966.40625}
{'pid': 626, 'username': 'devashish', 'name': 'WallpaperDynamicExtension', 'vms': 401552.109375}
{'pid': 627, 'username': 'devashish', 'name': 'usernoted', 'vms': 416956.375}
{'pid': 628, 'username': 'devashish', 'name': 'nsurlsessiond', 'vms': 416969.84375}
{'pid': 641, 'username': 'devashish', 'name': 'chronod', 'vms': 416966.078125}
{'pid': 645, 'username': 'devashish', 'name': 'lockoutagent', 'vms': 416944.515625}
{'pid': 647, 'username': 'devashish', 'name': 'NotificationCenter', 'vms': 402046.390625}
{'pid': 648, 'username': 'devashish', 'name': 'useractivityd', 'vms': 416944.53125}
{'pid': 649, 'username': 'devashish', 'name': 'com.apple.dock.extra', 'vms': 401279.421875}
{'pid': 650, 'username': 'devashish', 'name': 'figma_agent', 'vms': 401988.359375}
{'pid': 651, 'username': 'devashish', 'name': 'ScreenTimeAgent', 'vms': 416953.296875}
{'pid': 652, 'username': 'devashish', 'name': 'sharingd', 'vms': 417398.390625}
{'pid': 659, 'username': 'devashish', 'name': 'ctkahp', 'vms': 416910.4375}
{'pid': 663, 'username': 'devashish', 'name': 'WiFiAgent', 'vms': 417176.296875}
{'pid': 667, 'username': 'devashish', 'name': 'familycircled', 'vms': 416948.375}
{'pid': 670, 'username': 'devashish', 'name': 'akd', 'vms': 416954.140625}
